0.777961	0	0
0.758701	0	0
0.859462	0	0
0.772928	0	0
0.786427	0	0
0.776145	0	0
0.808031	0	0
0.825443	0	0
0.783009	0	0
0.788609	0	0
0.834348	0	0
0.803839	0	0
0.762031	0	0
0.830659	0	0
0.797978	0	0
0.761315	0	0
0.841726	0	0
0.819232	0	0
0.804993	0	0
0.828634	0	0
0.823319	0	0
0.824597	0	0
0.802511	0	0
0.80731	0	0
0.782788	0	0
0.787389	0	0
0.778112	0	0
0.802332	0	0
0.836048	0	0
0.75522	0	0
0.704601	0	0
0.822845	0	0
0.851264	0	0
0.838272	0	0
0.785603	0	0
0.831982	0	0
0.829617	0	0
0.805144	0	0
0.811761	0	0
0.731824	0	0
0.794954	0	0
0.835724	0	0
0.816081	0	0
0.836391	0	0
0.80558	0	0
0.847379	0	0
0.785514	0	0
0.78352	0	0
0.841673	0	0
0.874824	0	0
0.833555	0	0
0.838506	0	0
0.798329	0	0
0.845617	0	0
0.833916	0	0
0.832093	0	0
0.813828	0	0
0.788317	0	0
0.794892	0	0
0.795214	0	0
0.793223	0	0
0.794884	0	0
0.846648	0	0
0.798416	0	0
0.731987	0	0
0.774521	0	0
0.865291	0	0
0.78339	0	0
0.823542	0	0
0.783728	0	0
0.787048	0	0
0.854864	0	0
0.781085	0	0
0.726222	0	0
0.733475	0	0
0.755788	0	0
0.703778	0	0
0.813853	0	0
0.844392	0	0
0.850186	0	0
0.810487	0	0
0.756429	0	0
0.790098	0	0
0.797967	0	0
0.747217	0	0
0.838218	0	0
0.754557	0	0
0.819838	0	0
0.808474	0	0
0.844846	0	0
0.804181	0	0
0.806725	0	0
0.792432	0	0
0.826554	0	0
0.750299	0	0
0.755161	0	0
0.729315	0	0
0.806142	0	0
0.78142	0	0
0.827704	0	0
0.835814	0	0
0.83642	0	0
0.823879	0	0
0.844337	0	0
0.82201	0	0
0.830254	0	0
0.780699	0	0
0.726713	0	0
0.8196	0	0
0.801464	0	0
0.726327	0	0
0.807941	0	0
0.856088	0	0
0.790709	0	0
0.811475	0	0
