0.1	10.9936
0.2	6.61172
0.3	4.78181
0.4	3.8246
0.5	3.23616
0.6	2.83636
0.7	2.54757
0.8	2.33105
0.9	2.16308
1	2.02391
1.1	1.91455
1.2	1.82339
1.3	1.74575
1.4	1.68142
1.5	1.62418
1.6	1.57418
1.7	1.52948
1.8	1.48995
1.9	1.45621
2	1.42535
2.1	1.39881
2.2	1.37238
2.3	1.34918
2.4	1.32775
2.5	1.30832
2.6	1.29028
2.7	1.27445
2.8	1.25922
2.9	1.24394
3	1.23155
3.1	1.22002
3.2	1.2087
3.3	1.19705
3.4	1.18715
3.5	1.17744
3.6	1.16853
3.7	1.15975
3.8	1.15197
3.9	1.14421
4	1.13727
4.1	1.13061
4.2	1.12454
4.3	1.11784
4.4	1.11205
4.5	1.10686
4.6	1.10178
4.7	1.09673
4.8	1.09182
4.9	1.08689
5	1.08233
5.1	1.0772
5.2	1.07293
5.3	1.06884
5.4	1.06561
5.5	1.06191
5.6	1.05854
5.7	1.05493
5.8	1.05164
5.9	1.04878
6	1.04552
6.1	1.04228
6.2	1.03938
6.3	1.03652
6.4	1.03357
6.5	1.03069
6.6	1.02775
6.7	1.02535
6.8	1.02278
6.9	1.02073
7	1.01862
7.1	1.01648
7.2	1.01443
7.3	1.01257
7.4	1.01021
7.5	1.00817
7.6	1.00599
7.7	1.00421
7.8	1.00245
7.9	1.00083
8	0.99893
8.1	0.997346
8.2	0.995549
8.3	0.994107
8.4	0.992623
8.5	0.991184
8.6	0.989753
8.7	0.988
8.8	0.986831
8.9	0.985507
9	0.984423
9.1	0.982908
9.2	0.981887
9.3	0.980911
9.4	0.979535
9.5	0.978313
9.6	0.977283
9.7	0.97608
9.8	0.974975
9.9	0.973802
10	0.972316
