0.334333	0	0	0
0.337657	0	0	0
0.34098	0	0	0
0.344303	0	0	0
0.347627	0	0	0
0.35095	0	0	0
0.354273	0	0	0
0.357597	0	0	0
0.36092	0	0	0
0.364243	0	0	0
0.367567	0	0	0
0.37089	0	0	0
0.374213	0	0	0
0.377537	0	0	0
0.38086	0	0	0
0.384183	0	0	0
0.387507	0	0	0
0.39083	0	0	0
0.394153	0	0	0
0.397477	0	0	0
0.4008	0	0	0
0.404123	0	0	0
0.407447	0	0	0
0.41077	0	0	0
0.414093	0	0	0
0.417417	0	0	0
0.42074	0	0	0
0.424063	0	0	0
0.427387	0	0	0
0.43071	0	0	0
0.434033	0.0177999	0.001	0.000999506
0.437357	0.0114289	0.001	0.000999506
0.44068	0.0294655	0.002	0.0014128
0.444003	0.0217694	0.002	0.0014128
0.447327	0.0515308	0.004	0.00199599
0.45065	0.0702472	0.006	0.00244212
0.453973	0.118603	0.01	0.00314644
0.457297	0.261544	0.02	0.00442718
0.46062	0.370454	0.03	0.00539446
0.463943	0.540779	0.045	0.00655555
0.467267	0.595302	0.054	0.00714728
0.47059	0.801672	0.072	0.0081741
0.473913	1.08119	0.098	0.00940195
0.477237	1.4074	0.132	0.0107041
0.48056	1.93502	0.176	0.0120426
0.483883	2.26157	0.216	0.0130132
0.487207	2.61193	0.262	0.0139053
0.49053	3.12411	0.318	0.0147267
0.493853	3.7389	0.385	0.0153875
0.497177	4.10877	0.44	0.0156972
0.5005	4.59501	0.503	0.0158111
0.503823	5.12951	0.578	0.0156179
0.507147	5.50302	0.646	0.0151223
0.51047	5.86666	0.71	0.0143493
0.513793	5.96724	0.761	0.0134862
0.517117	5.94151	0.799	0.0126728
0.52044	6.0082	0.847	0.0113838
0.523763	5.98726	0.884	0.0101264
0.527087	5.89853	0.913	0.00891239
0.53041	5.62253	0.931	0.00801491
0.533733	5.56535	0.956	0.00648571
0.537057	5.30444	0.97	0.00539445
0.54038	5.01673	0.979	0.00453419
0.543703	4.8246	0.989	0.00329835
0.547027	4.5102	0.992	0.00281708
0.55035	4.31124	0.997	0.00172945
0.553673	4.02449	0.997	0.00172945
0.556997	3.79183	0.998	0.0014128
0.56032	3.59256	0.999	0.000999502
0.563643	3.38983	0.999	0.000999502
0.566967	3.1981	0.999	0.000999502
0.57029	3.01629	0.999	0.000999502
0.573613	2.84893	0.999	0.000999502
0.576937	2.68771	0.999	0.000999502
0.58026	2.53354	0.999	0.000999502
0.583583	2.40079	1	0
0.586907	2.26157	1	0
0.59023	2.12703	1	0
0.593553	1.99732	1	0
0.596877	1.8707	1	0
0.6002	1.74532	1	0
0.603523	1.63413	1	0
0.606847	1.5194	1	0
0.61017	1.41127	1	0
0.613493	1.30403	1	0
0.616817	1.19618	1	0
0.62014	1.09278	1	0
0.623463	1.00254	1	0
0.626787	0.90775	1	0
0.63011	0.815016	1	0
0.633433	0.723322	1	0
0.636757	0.639318	1	0
0.64008	0.552513	1	0
0.643403	0.468094	1	0
0.646727	0.382253	1	0
0.65005	0.300511	1	0
0.653373	0.214756	1	0
0.656697	0.133209	1	0
0.66002	0.000999991	1	0
0.663343	0.000999991	1	0
