0.1	10.5307
0.2	5.52999
0.3	3.87341
0.4	3.04751
0.5	2.55258
0.6	2.21658
0.7	1.981
0.8	1.81604
0.9	1.68505
1	1.58979
1.1	1.52559
1.2	1.51214
1.3	1.55091
1.4	1.60631
1.5	1.65292
1.6	1.6682
1.7	1.65538
1.8	1.63428
1.9	1.60593
2	1.58318
2.1	1.55291
2.2	1.53251
2.3	1.51552
2.4	1.50354
2.5	1.50026
2.6	1.4932
2.7	1.49171
2.8	1.49063
2.9	1.48783
3	1.48494
3.1	1.48159
3.2	1.47687
3.3	1.47093
3.4	1.46425
3.5	1.45552
3.6	1.45173
3.7	1.45173
3.8	1.44627
3.9	1.44037
4	1.43212
4.1	1.436
4.2	1.43165
4.3	1.43165
4.4	1.42681
4.5	1.42681
4.6	1.42183
4.7	1.42183
4.8	1.41737
4.9	1.41737
5	1.40879
5.1	1.4119
5.2	1.4119
5.3	1.40624
5.4	1.40624
5.5	1.40624
5.6	1.40125
5.7	1.40125
5.8	1.40125
5.9	1.39514
6	1.39514
6.1	1.39514
6.2	1.39514
6.3	1.39097
6.4	1.39097
6.5	1.39097
6.6	1.39097
6.7	1.38572
6.8	1.38572
6.9	1.38572
7	1.38572
7.1	1.38572
7.2	1.38046
7.3	1.38046
7.4	1.38046
7.5	1.38046
7.6	1.38046
7.7	1.37516
7.8	1.37516
7.9	1.37516
8	1.37516
8.1	1.37516
8.2	1.37516
8.3	1.37516
8.4	1.36983
8.5	1.36983
8.6	1.36983
8.7	1.36983
8.8	1.36983
8.9	1.36983
9	1.36983
9.1	1.36405
9.2	1.36405
9.3	1.36405
9.4	1.36405
9.5	1.36405
9.6	1.36405
9.7	1.36405
9.8	1.36405
9.9	1.36405
10	1.3839
